mse,average
0.154008,
0.154274,
0.154517,
0.154764,
0.155027,
0.155345,
0.155661,
0.155988,
0.156298,
0.156617,
0.156902,
0.157163,
0.157399,
0.157616,
0.157834,
0.158052,
0.158282,
0.158529,
0.158804,
0.159084,
0.159310,
0.159484,
0.159632,
0.159751,
0.159845,
0.159912,
0.159964,
0.159985,
0.159988,
0.159958,
0.159902,
0.159819,
0.160089,
0.160345,
0.160766,
0.161380,
0.161723,
0.161910,
0.162217,
0.162560,
0.162715,
0.162542,
0.162253,
0.161577,
0.160871,
0.163427,
0.165156,
0.166519,
0.166659,
0.166828,
0.168518,
0.169658,
0.168770,
0.169210,
0.171389,
0.170414,
0.172856,
0.174896,
0.175390,
0.177672,
0.181928,
0.186164,
0.190298,
0.194646,
0.202285,
0.206491,
0.212743,
0.218353,
0.226610,
0.235525,
0.245586,
0.256754,
0.269287,
0.279893,
0.290956,
0.304480,
0.318934,
0.331786,
0.346163,
0.361536,
0.377609,
0.393051,
0.411610,
0.427914,
0.448026,
0.467012,
0.487663,
0.506975,
0.528416,
0.552109,
0.573306,
0.596175,
0.618751,
0.639900,
0.663395,
0.686111,
0.708997,
0.732570,
0.758299,
0.784130,
0.808574,
0.832979,
0.857421,
0.882388,
0.908428,
0.936187,
0.962687,
0.988405,
1.015701,
1.043069,
1.069619,
1.096900,
1.122707,
1.149490,
1.174716,
1.200422,
1.226655,
1.253839,
1.280900,
1.307160,
1.332187,
1.357351,
1.384126,
1.408434,
1.433077,
1.455774,
1.478854,
1.503019,
1.524902,
1.545363,
1.564848,
1.584600,
1.602916,
1.619946,
1.638996,
1.655535,
1.668311,
1.678820,
1.692682,
1.708634,
1.721406,
1.736547,
1.750208,
1.762622,
1.773586,
1.779225,
1.782839,
1.789193,
1.791159,
1.791995,
1.794337,
1.789285,
1.788718,
1.789403,
1.780967,
1.778942,
1.771966,
1.766085,
1.765611,
1.761809,
1.754577,
1.757123,
1.755147,
1.751137,
1.750090,
1.744744,
1.734958,
1.736849,
1.728003,
1.726972,
1.724587,
1.722980,
1.710913,
1.708462,
1.702899,
1.703877,
1.704000,
1.693214,
1.693324,
1.695227,
1.682179,
1.674902,
1.669336,
1.671353,
1.665604,
1.664165,
1.657246,
1.649173,
1.628377,
1.615600,
1.598065,
1.577139,
1.552273,
1.532653,
1.516782,
1.486823,
1.458380,
1.430501,
1.398513,
1.371505,
1.334929,
1.301734,
1.274983,
1.242356,
1.214237,
1.180156,
1.153482,
1.124009,
1.103103,
1.074481,
1.047587,
1.023181,
0.996511,
0.981244,
0.957607,
0.933033,
0.916275,
0.889250,
0.866901,
0.847412,
0.829759,
0.808614,
0.793020,
0.775629,
0.762028,
0.745774,
0.727844,
0.719880,
0.704265,
0.683304,
0.671019,
0.654530,
0.636141,
0.622361,
0.607004,
0.597106,
0.589086,
0.579309,
0.576732,
0.571238,
0.568942,
0.572990,
0.574939,
0.573746,
0.581595,
0.586564,
0.590234,
0.594161,
0.603178,
0.614081,
0.620718,
0.630164,
0.642331,
0.653567,
0.667710,
0.679501,
0.691270,
0.705599,
0.719787,
0.736257,
0.751596,
0.764312,
0.777829,
0.794570,
0.806544,
0.822631,
0.835376,
0.847620,
0.859428,
0.872390,
0.883406,
0.896040,
0.906468,
0.919110,
0.927713,
0.936806,
0.942739,
0.952247,
0.958623,
0.965466,
0.970569,
0.975364,
0.983544,
0.988086,
0.989025,
0.990709,
0.991300,
0.992431,
0.994322,
0.994336,
0.991507,
0.995723,
0.999339,
1.004353,
1.006245,
1.004718,
0.998048,
0.997649,
0.995515,
0.998456,
0.996855,
0.993394,
0.989830,
0.989978,
0.989554,
0.988447,
0.990885,
0.999517,
0.994871,
0.991131,
0.997620,
1.000691,
0.998026,
0.999255,
0.997479,
1.003591,
1.007672,
1.010828,
1.017177,
1.015425,
1.019191,
1.026697,
1.034218,
1.038806,
1.052713,
1.055583,
1.065524,
1.078737,
1.093485,
1.104815,
1.117268,
1.127133,
1.140617,
1.148591,
1.165315,
1.179725,
1.189686,
1.200786,
1.219620,
1.230516,
1.246340,
1.253727,
1.264963,
1.280001,
1.290886,
1.295048,
1.312419,
1.315281,
1.317778,
1.314570,
1.314210,
1.311010,
1.303769,
1.285416,
1.282018,
1.264964,
1.243530,
1.228182,
1.220238,
1.206312,
1.197719,
1.184102,
1.164144,
1.163126,
1.151325,
1.141421,
1.140247,
1.122475,
1.116422,
1.113258,
1.110281,
1.100838,
1.097150,
1.098392,
1.108010,
1.106767,
1.106924,
1.102968,
1.100668,
1.103347,
1.100300,
1.108868,
1.117840,
1.118502,
1.126569,
1.122255,
1.129802,
1.134181,
1.145410,
1.154970,
1.161086,
1.162818,
1.152343,
1.155240,
1.157506,
1.147448,
1.163314,
1.153091,
1.166754,
1.170330,
1.160777,
1.165296,
1.149869,
1.165410,
1.188169,
1.184757,
1.161280,
1.174085,
1.160743,
1.159368,
1.165362,
1.173221,
1.167594,
1.186681,
1.182722,
1.219508,
1.234344,
1.294986,
1.252003,
1.272873,
1.268479,
1.275183,
1.290843,
1.275532,
1.287428,
1.262563,
1.215133,
1.191900,
1.143699,
1.184655,
1.194690,
1.147882,
1.164001,
1.132913,
1.086190,
1.068278,
1.067916,
1.052755,
1.042135,
1.057496,
1.064626,
1.046540,
1.026851,
1.022339,
1.025843,
1.033104,
1.016959,
1.022000,
1.045140,
1.040388,
1.046839,
1.027563,
1.032116,
1.024623,
1.014700,
1.002164,
1.015955,
1.013330,
0.990210,
1.008374,
1.008763,
1.005734,
1.014555,
0.998040,
0.994233,
1.003755,
1.019440,
1.022799,
1.012412,
1.015757,
0.998812,
0.994630,
0.976233,
0.997835,
0.992362,
0.963522,
0.959049,
0.964790,
0.982355,
0.967819,
0.923246,
0.905815,
0.871167,
0.862508,
0.830024,
0.813509,
0.806189,
0.797856,
0.775197,
0.716211,
0.710055,
0.689816,
0.661196,
0.646388,
0.626627,
0.610010,
0.600621,
0.591354,
0.570827,
0.565738,
0.554795,
0.539608,
0.529897,
0.527463,
0.520044,
0.519139,
0.509713,
0.499564,
0.489029,
0.486014,
0.474857,
0.470319,
0.473570,
0.469308,
0.461544,
0.460459,
0.452872,
0.449326,
0.450691,
0.447503,
0.448224,
0.448484,
0.460756,
0.468856,
0.454213,
0.452042,
0.453933,
0.452663,
0.450623,
0.441186,
0.439276,
0.450283,
0.449878,
0.440992,
0.436084,
0.429671,
0.432141,
0.436340,
0.431475,
0.446259,
0.446879,
0.464269,
0.462855,
0.443059,
0.463064,
0.457803,
0.435508,
0.422983,
0.414185,
0.416560,
0.386352,
0.366454,
0.356140,
0.351110,
0.341834,
0.327266,
0.326074,
0.322287,
0.323026,
0.325498,
0.338247,
0.313418,
0.320661,
0.304002,
0.300421,
0.286503,
0.281348,
0.271557,
0.262612,
0.255989,
0.260820,
0.249799,
0.241352,
0.239459,
0.241940,
0.245030,
0.253882,
0.241627,
0.232513,
0.233321,
0.228545,
0.232257,
0.232315,
0.233874,
0.231183,
0.234819,
0.238598,
0.238676,
0.249651,
0.252428,
0.252877,
0.257290,
0.254782,
0.260530,
0.262532,
0.257594,
0.252157,
0.248913,
0.245983,
0.247375,
0.248624,
0.241592,
0.237647,
0.236450,
0.225412,
0.217776,
0.215069,
0.209720,
0.205894,
0.198960,
0.193366,
0.183815,
0.178091,
0.172558,
0.166236,
0.162988,
0.154812,
0.150615,
0.145346,
0.135381,
0.125032,
0.117700,
0.111955,
0.104253,
0.099208,
0.095076,
0.091240,
0.086778,
0.086132,
0.085058,
0.086773,
0.087818,
0.082419,
0.083010,
0.087993,
0.082835,
0.085007,
0.088445,
0.092216,
0.095154,
0.098400,
0.101916,
0.105779,
0.109932,
0.114335,
0.118881,
0.123563,
0.128281,
0.132928,
0.137490,
0.142021,
0.146414,
0.150431,
0.154147,
0.157579,
0.160760,
0.163604,
0.166087,
0.168131,
0.169735,
0.170881,
0.171569,
0.171890,
0.171797,
0.171286,
0.170406,
0.169131,
0.167201,
0.164792,
0.161928,
0.158666,
0.155180,
0.151442,
0.147574,
0.143649,
0.139533,
0.135256,
0.130959,
0.126656,
0.122258,
0.118321,
0.114789,
0.111362,
0.108131,
0.105131,
0.102441,
0.099778,
0.097229,
0.094954,
0.093078,
0.091667,
0.090644,
0.089686,
0.089166,
0.089171,
0.089069,
0.089272,
0.090152,
0.091440,
0.092895,
0.094649,
0.096766,
0.099136,
0.101690,
0.104485,
0.107502,
0.110747,
0.114062,
0.117350,
0.120657,
0.124081,
0.127453,
0.130652,
0.133710,
0.136531,
0.139161,
0.141532,
0.143773,
0.145820,
0.147664,
0.149333,
0.150854,
0.152198,
0.153303,
0.154049,
0.154596,
0.154865,
0.154843,
0.154163,
0.152923,
0.151373,
0.149647,
0.147815,
0.145789,
0.143212,
0.140612,
0.137962,
0.135246,
0.132613,
0.129989,
0.127491,
0.125014,
0.122563,
0.120606,
0.118810,
0.117124,
0.115564,
0.114189,
0.112995,
0.111992,
0.111165,
0.110600,
0.110138,
0.109851,
0.109915,
0.110248,
0.110711,
0.111480,
0.112517,
0.113790,
0.115239,
0.116730,
0.118239,
0.119821,
0.121573,
0.123302,
0.124912,
0.126528,
0.128125,
0.129654,
0.131122,
0.132433,
0.133585,
0.134616,
0.135467,
0.136136,
0.136520,
0.136654,
0.136506,
0.136116,
0.135507,
0.134692,
0.133584,
0.132214,
0.130667,
0.128909,
0.127000,
0.125127,
0.123060,
0.120839,
0.118406,
0.115933,
0.113432,
0.110952,
0.108590,
0.106400,
0.104335,
0.102472,
0.100810,
0.099218,
0.097706,
0.096394,
0.095167,
0.094148,
0.093255,
0.092442,
0.091857,
0.091307,
0.090932,
0.090772,
0.090847,
0.091078,
0.091552,
0.092270,
0.093214,
0.094341,
0.095559,
0.096791,
0.098223,
0.099786,
0.101397,
0.103143,
0.105126,
