date,date1,date2,date3,date4,date5,OT,OT,OT
2.625487,2.567590,49.472718,4537.991722,-0.025682,42.726732,6.646918,2.471923,-29.003333
2.670965,2.608034,49.468297,4534.289803,-0.030270,42.668515,6.638771,2.469878,-29.000675
2.714739,2.648465,49.464638,4530.591922,-0.035827,42.610384,6.630857,2.467548,-29.001142
2.757158,2.688865,49.460694,4526.899946,-0.041658,42.550271,6.623551,2.465464,-28.999851
2.802048,2.729638,49.454410,4523.211887,-0.044093,42.492831,6.617469,2.462823,-28.998354
2.848289,2.772292,49.449746,4519.529648,-0.048964,42.434419,6.612680,2.459975,-28.997399
2.893833,2.812546,49.443831,4515.851299,-0.055614,42.376513,6.606780,2.458500,-28.999316
2.938757,2.852447,49.438418,4512.176647,-0.060084,42.317913,6.602145,2.456519,-28.998237
2.984257,2.891818,49.430826,4508.506438,-0.064824,42.260974,6.598389,2.454346,-28.998613
3.027429,2.933192,49.422234,4504.839599,-0.072248,42.203309,6.594845,2.453412,-28.998857
3.072280,2.973819,49.412748,4501.176193,-0.080670,42.145053,6.590495,2.452896,-29.000544
3.117555,3.014544,49.401944,4497.514926,-0.086694,42.087554,6.587423,2.452907,-29.000386
3.161753,3.053890,49.391389,4493.856776,-0.090985,42.029837,6.586536,2.452232,-28.999079
3.205420,3.095827,49.379793,4490.198887,-0.096572,41.970492,6.586185,2.451671,-28.999176
3.250772,3.136045,49.370962,4486.544758,-0.102114,41.912357,6.585628,2.450612,-29.000931
3.294268,3.175637,49.357229,4482.892136,-0.109472,41.853935,6.584240,2.451251,-29.002482
3.339126,3.215746,49.343829,4479.241553,-0.115846,41.794859,6.584848,2.451899,-29.001892
3.385987,3.257229,49.328671,4475.591292,-0.121610,41.736692,6.586011,2.452549,-29.001900
3.429956,3.296169,49.315094,4471.940084,-0.128727,41.677727,6.589341,2.453540,-29.002447
3.474642,3.333839,49.300983,4468.289270,-0.134312,41.618986,6.593759,2.454729,-29.003031
3.519752,3.372506,49.283523,4464.639757,-0.141084,41.562334,6.599037,2.456851,-29.002017
3.564885,3.411945,49.266300,4460.987541,-0.148920,41.504030,6.602668,2.458369,-29.002492
3.610694,3.453688,49.248226,4457.333288,-0.154811,41.444378,6.607084,2.459852,-29.000722
3.655043,3.494469,49.228576,4453.678105,-0.162365,41.388170,6.614410,2.463418,-28.999583
3.699137,3.532830,49.211624,4450.020519,-0.169014,41.329469,6.620937,2.467563,-29.000763
3.742682,3.572208,49.190733,4446.359603,-0.177798,41.272327,6.630093,2.469425,-29.000371
3.788120,3.610490,49.169030,4442.697325,-0.185849,41.213204,6.639657,2.473348,-28.999326
3.833067,3.651385,49.146156,4439.031574,-0.193433,41.154125,6.648735,2.476713,-29.001167
3.878387,3.692223,49.123371,4435.362946,-0.200995,41.096079,6.658284,2.479491,-29.001566
3.923471,3.731575,49.100353,4431.690105,-0.207348,41.038657,6.670704,2.486913,-29.000103
