avg w-distance,each dim w-distance
0.238534,0.301647
0.238534,0.181693
0.238534,0.244607
0.238534,0.198342
0.238534,0.250644
0.238534,0.253181
0.238534,0.277657
0.238534,0.277657
0.238534,0.161377
