mse,average
0.033397,
0.033866,
0.034443,
0.035183,
0.036090,
0.037067,
0.038131,
0.039251,
0.040483,
0.041802,
0.043274,
0.044775,
0.046168,
0.047641,
0.048925,
0.049962,
0.050888,
0.051682,
0.052340,
0.052829,
0.053502,
0.054303,
0.054934,
0.055487,
0.056024,
0.056660,
0.057316,
0.058034,
0.058950,
0.060068,
0.061116,
0.061993,
0.063002,
0.063817,
0.064767,
0.065562,
0.065978,
0.065848,
0.065185,
0.063965,
0.062413,
0.060333,
0.058180,
0.055972,
0.053711,
0.052579,
0.051492,
0.050541,
0.049600,
0.048776,
0.048181,
0.047759,
0.047602,
0.047786,
0.048194,
0.048878,
0.050153,
0.052209,
0.055093,
0.058844,
0.063645,
0.069521,
0.076480,
0.084537,
0.093719,
0.104043,
0.115594,
0.128320,
0.142127,
0.156891,
0.172686,
0.189528,
0.207371,
0.226195,
0.246067,
0.267006,
0.288662,
0.311341,
0.334787,
0.358900,
0.383857,
0.409614,
0.436108,
0.463089,
0.490801,
0.518995,
0.547707,
0.576883,
0.606344,
0.636065,
0.666043,
0.696092,
0.726017,
0.755886,
0.785422,
0.814789,
0.844211,
0.873785,
0.903288,
0.932507,
0.961532,
0.990206,
1.018279,
1.046340,
1.074749,
1.102697,
1.130641,
1.158830,
1.186839,
1.213790,
1.241005,
1.268238,
1.295866,
1.323039,
1.349997,
1.377034,
1.404299,
1.431230,
1.458228,
1.485024,
1.511540,
1.538129,
1.564374,
1.590351,
1.615754,
1.640324,
1.664946,
1.689036,
1.712483,
1.735059,
1.756797,
1.778099,
1.852095,
1.919470,
1.950995,
1.998725,
2.051159,
2.109757,
2.126861,
2.127240,
2.113771,
2.089875,
2.034417,
1.996336,
1.953592,
1.803767,
1.650943,
1.577149,
1.468415,
1.419179,
1.374932,
1.333816,
1.269471,
1.262193,
1.250308,
1.224397,
1.214534,
1.177025,
1.155960,
1.126855,
1.106112,
1.077017,
1.061971,
1.052099,
1.021915,
1.041134,
1.037508,
1.070681,
1.056275,
1.092737,
1.112421,
1.135154,
1.093035,
1.126473,
1.150170,
1.145279,
1.164939,
1.151750,
1.152299,
1.140256,
1.141263,
1.131514,
1.138511,
1.143521,
1.121516,
1.141970,
1.142438,
1.151275,
1.135769,
1.148348,
1.149874,
1.166650,
1.151963,
1.181405,
1.212850,
1.232183,
1.259349,
1.255364,
1.249001,
1.220416,
1.191594,
1.151743,
1.110924,
1.067301,
1.002099,
0.941492,
0.862957,
0.800240,
0.734579,
0.691741,
0.657778,
0.630596,
0.601644,
0.607002,
0.605713,
0.611324,
0.609118,
0.590281,
0.571099,
0.537124,
0.514110,
0.486610,
0.449927,
0.424896,
0.393619,
0.367299,
0.337379,
0.324320,
0.311856,
0.309118,
0.334661,
0.348469,
0.360611,
0.400225,
0.452749,
0.490099,
0.547369,
0.598938,
0.648246,
0.698315,
0.755965,
0.813615,
0.869960,
0.918352,
0.975674,
1.036374,
1.097799,
1.159418,
1.229579,
1.294833,
1.350480,
1.397624,
1.436821,
1.462158,
1.470231,
1.462982,
1.438544,
1.407361,
1.367895,
1.325135,
1.283311,
1.244132,
1.211555,
1.181458,
1.155455,
1.134622,
1.114112,
1.091624,
1.065199,
1.034189,
0.997485,
0.969217,
0.939886,
0.904283,
0.862662,
0.822520,
0.781538,
0.741913,
0.703361,
0.674172,
0.645960,
0.618058,
0.588152,
0.556462,
0.525742,
0.492913,
0.459006,
0.427006,
0.392388,
0.357942,
0.323910,
0.292589,
0.264442,
0.240387,
0.222303,
0.209909,
0.206515,
0.212467,
0.221502,
0.231650,
0.244279,
0.257857,
0.272824,
0.287764,
0.301188,
0.314459,
0.325576,
0.337145,
0.345353,
0.351543,
0.355733,
0.358616,
0.366651,
0.381673,
0.405385,
0.435989,
0.464406,
0.488200,
0.512034,
0.534235,
0.557264,
0.579797,
0.601356,
0.621910,
0.644957,
0.666248,
0.684161,
0.699911,
0.711441,
0.711304,
0.705684,
0.657969,
0.742524,
0.727691,
0.767959,
0.839493,
0.982883,
0.925971,
0.893426,
0.833719,
0.842587,
0.785575,
0.859772,
0.875809,
0.858390,
0.768413,
0.787928,
0.749446,
0.765550,
0.807787,
0.744466,
0.802006,
0.855378,
0.813063,
0.832372,
0.830000,
0.868821,
0.905051,
0.922478,
0.827796,
0.787550,
0.790085,
0.806643,
0.813470,
0.786723,
0.805322,
0.801442,
0.808372,
0.765204,
0.724134,
0.654793,
0.756418,
0.813279,
0.761078,
0.771648,
0.759700,
0.807384,
0.852508,
0.864292,
0.781169,
0.747574,
0.759374,
0.784333,
0.800854,
0.796413,
0.825758,
0.836088,
0.869007,
0.824255,
0.764149,
0.667121,
0.462659,
0.162797,
0.193067,
0.132254,
0.138578,
0.122078,
0.163626,
0.134439,
0.211448,
0.201113,
0.182048,
0.179824,
0.170054,
0.181733,
0.199775,
0.175274,
0.235350,
0.240855,
0.428035,
0.344936,
0.307473,
0.156836,
0.181560,
0.141155,
0.147916,
0.144013,
0.159541,
0.129140,
0.152601,
0.137953,
0.101981,
0.101535,
0.077805,
0.074805,
0.049334,
0.031873,
0.031866,
0.028377,
0.146114,
0.130238,
0.037600,
0.014978,
0.017796,
0.015687,
0.015709,
0.014462,
0.014033,
0.019116,
0.020716,
0.026037,
0.035234,
0.045611,
0.063221,
0.073238,
0.085628,
0.102476,
0.105239,
0.112115,
0.139612,
0.146908,
0.114961,
0.120214,
0.123562,
0.131112,
0.137844,
0.150000,
0.152158,
0.164411,
0.158791,
0.160842,
0.167970,
0.177855,
0.198494,
0.192450,
0.188274,
0.204491,
0.192936,
0.181954,
0.152668,
0.134325,
0.236402,
0.244677,
0.235693,
0.209088,
0.324321,
0.291061,
0.304491,
0.263051,
0.374907,
0.506550,
0.480285,
0.656032,
0.698482,
0.722849,
0.502888,
0.456824,
0.429900,
0.397341,
0.275137,
0.085565,
0.080660,
0.077187,
0.074498,
0.072155,
0.070278,
0.068700,
0.067458,
0.066374,
0.065535,
0.065029,
0.064975,
0.065139,
0.065548,
0.066479,
0.068022,
0.069392,
0.070389,
0.071640,
0.073190,
0.074711,
0.076429,
0.078376,
0.080759,
0.083589,
0.086824,
0.090033,
0.093649,
0.097183,
0.101073,
0.105105,
0.109523,
0.114437,
0.119640,
0.125358,
0.131816,
0.138920,
0.145789,
0.152417,
0.158381,
0.164854,
0.171842,
0.179220,
0.187286,
0.195814,
0.205531,
0.216252,
0.227736,
0.239884,
0.166533,
0.273143,
0.222486,
0.348940,
0.481038,
0.486314,
0.292137,
0.268475,
0.194004,
0.303207,
0.331258,
0.438217,
0.468359,
0.435119,
0.324618,
0.364450,
0.198233,
0.088918,
0.090392,
0.135791,
0.239319,
0.269806,
0.230042,
0.230235,
0.174612,
0.219897,
0.251381,
0.304504,
0.184916,
0.158041,
0.189218,
0.176378,
0.225908,
0.194761,
0.232163,
0.251638,
0.187929,
0.088425,
0.053539,
0.058285,
0.148147,
0.182001,
0.158312,
0.168615,
0.122566,
0.136709,
0.172442,
0.205987,
0.135712,
0.121769,
0.142975,
0.143660,
0.163896,
0.151627,
0.173347,
0.176139,
0.158175,
0.087370,
0.050480,
0.038663,
0.087600,
0.113175,
0.096786,
0.113181,
0.086520,
