0,1,2,3,4,5,6,7,8
-0.015279418727160007,0.4232561613290628,0.1760522281966062,0.0429884636621802,1.1940327410679041,0.32020184581417066,-0.07159992086645596,-0.07159992086645656,-0.5721830472218842
-0.01187758220308539,0.4274867497917146,0.1809123885188623,0.03916098462373227,1.187921322866322,0.3178028735856332,-0.10260478530076274,-0.10260478530076275,-0.5721830472218842
-0.008478006035505489,0.4317093434415239,0.18570256911880492,0.03536354186533438,1.1795922592413803,0.3154250980971608,-0.13301155862553146,-0.1330115586255313,-0.5721830472218842
-0.005080690224419504,0.4359239422784902,0.19040218772516468,0.03159590492959485,1.1690971233424607,0.3130666490481594,-0.1627533273773613,-0.16275332737736226,-0.5721830472218842
-0.0016856347698282368,0.44012921383380643,0.19499203421809047,0.027857792146368396,1.1564359151695625,0.3107281498721605,-0.19176714375623072,-0.19176714375623058,-0.5721830472218842
0.0017060301500215565,0.4443278230450872,0.19945427062915158,0.024148836490919694,1.1416988877341014,0.3084083537021011,-0.21999396081630096,-0.21999396081630068,-0.5721830472218842
0.00509656489162379,0.44851843744352504,0.20377105898991235,0.020468628261219323,1.124911827610768,0.30610788397151273,-0.2473785487845826,-0.2473785487845824,-0.5721830472218842
0.008483709098484952,0.45270238949792746,0.207924561331942,0.01681668947156605,1.1061392012362874,0.30382487037980166,-0.2738693953465987,-0.2738693953465993,-0.5721830472218842
0.011868592948851396,0.45687701427067984,0.21189831183822427,0.013192490923504671,1.0854196884726952,0.3015593129269679,-0.29941859263017273,-0.29941859263017223,-0.5721830472218842
0.015251216442723523,0.4610449766993963,0.21567721684316313,0.009595443670368058,1.0628435423314073,0.2993105881794795,-0.3239817134835997,-0.32398171348359944,-0.5721830472218842
0.01863157958010093,0.46520494431527026,0.21924343837832488,0.006024907552734336,1.0384494426744586,0.2970774492702743,-0.34751767950031986,-0.3475176795003201,-0.5721830472218842
0.02200968236098443,0.4693582495871083,0.2225832549295309,0.002480208269346298,1.0123147492259201,0.2948592727658212,-0.3699886230807483,-0.36998862308074876,-0.5721830472218842
0.025385524785373207,0.47350356004610344,0.22568157283118326,-0.0010393882292651865,0.9845168217098624,0.2926560586661193,-0.39135974566861764,-0.3913597456686172,-0.5721830472218842
0.028759106853267668,0.4776422081610631,0.2285260427205216,-0.004534658669865646,0.955107233275666,0.29046593667057585,-0.41159917411357244,-0.41159917411357216,-0.5721830472218842
0.03212929838642065,0.48177286146318027,0.23110294308336637,-0.008006413921054775,0.9241762369347466,0.28828890677918995,-0.4306778169624002,-0.4306778169623999,-0.5721830472218842
0.035498359741326486,0.485895519952454,0.23339992455695632,-0.011455507528727886,0.8918011924111748,0.286123722124899,-0.4485692222995388,-0.4485692222995389,-0.5721830472218842
0.03886403056149044,0.49001284856649985,0.23540463777853016,-0.014882827180616016,0.8580594594290213,0.2839691358406408,-0.4652494386123031,-0.4652494386123029,-0.5721830472218842
0.042228571203407235,0.4941221823677022,0.23710747768816337,-0.018289294706285916,0.8230283977123567,0.2818245244928839,-0.4806968799822937,-0.48069687998229393,-0.5721830472218842
0.04558972131058255,0.4982248538248692,0.23849746707451203,-0.021675866077139675,0.7867853669852518,0.27968926464809674,-0.4948921967732762,-0.4948921967732763,-0.5721830472218842
0.04894974123951072,0.5023195304691936,0.23956500087764965,-0.02504353140641664,0.7494206202591224,0.2775614860056852,-0.5078181528391779,-0.5078181528391774,-0.5721830472218842
0.052306370633697405,0.5064075447694822,0.24030321834048837,-0.028393314949189955,0.7110115172580389,0.27544118856565014,-0.5194595101467858,-0.5194595101467853,-0.5721830472218842
0.05566186984963654,0.5104888967257349,0.24070388655451908,-0.03172624949599343,0.6716612042807625,0.27332650202739656,-0.5298029215783218,-0.5298029215783217,-0.5721830472218842
0.05901397853083419,0.5145635863379522,0.2407574004598182,-0.035043419050113676,0.6314341477640185,0.2712168029573938,-0.5388368325876175,-0.5388368325876177,-0.5721830472218842
0.06236495703378469,0.5186316136061336,0.24046101575354803,-0.038345899079378576,0.590433494006568,0.26911146792211,-0.546551392251166,-0.5465513922511658,-0.5721830472218842
0.06571254500199371,0.5226929785302795,0.23980787167862072,-0.04163483333528783,0.5487494960198265,0.2670086266209518,-0.5529383741846734,-0.5529383741846735,-0.5721830472218842
0.06905900279195518,0.5267463486415825,0.23879247962936384,-0.044911339962963384,0.50647240681521,0.26490827905391884,-0.5579911076939706,-0.5579911076939716,-0.5721830472218842
0.07240207004717517,0.5307930564088501,0.23741209530294072,-0.04817659685574106,0.4636795861167891,0.26280793148688586,-0.5617044194574831,-0.561704419457483,-0.5721830472218842
