0,1,2,3,4,5,6,7,8
9.35928,7.6823299999999985,46.30216,4069.46012,0.10512000000000005,34.03899,8.339907433841903,3.1068349552772694,0.0
9.40441,7.713240000000001,46.3151,4064.77847,0.13786000000000004,34.04605,8.305597421761469,3.094053573026559,0.0
9.44949,7.744119999999999,46.33147,4060.10888,0.16974000000000006,34.05314,8.267475666843533,3.0798522162758872,0.0
9.49451,7.77497,46.35115,4055.45366,0.20066999999999996,34.06024,8.22572532549477,3.0642991156058788,0.0
9.53948,7.8058,46.37404,4050.81502,0.23059000000000002,34.06737,8.180540637998218,3.047466630632734,0.0
9.58439,7.8366000000000025,46.40002,4046.1951,0.25942000000000004,34.07453,8.132125437108627,3.0294306944207583,0.0
9.62925,7.867380000000001,46.42896,4041.59593,0.28709999999999997,34.08171,8.080691637802243,3.0102702508744232,0.0
9.67405,7.89813,46.46073,4037.01944,0.31355000000000005,34.08891,8.026457726657815,2.9900666919930403,0.0
9.7188,7.92886,46.49519,4032.46744,0.3387200000000001,34.09614,7.9696472683144925,2.9689033014870323,0.0
9.76349,7.95956,46.5322,4027.94164,0.36255,34.10339,7.910487445181233,2.946864710781264,0.0
9.80812,7.99023,46.5716,4023.44365,0.38500000000000006,34.11067,7.849207645082457,2.9240363728758902,0.0
9.85271,8.02089,46.61325,4018.97492,0.4060200000000001,34.11797,7.786038109852313,2.9005040589121585,0.0
9.89724,8.05151,46.65699,4014.53683,0.42557000000000017,34.1253,7.721208656130159,2.876353381635069,0.0
9.94172,8.08212,46.70265,4010.13062,0.44361999999999996,34.13265,7.654947477786051,2.851669349265358,0.0
9.98614,8.1127,46.75008,4005.75741,0.4601199999999999,34.14003,7.587480037508676,2.826535952586846,0.0
10.03051,8.14325,46.7991,4001.41819,0.47506999999999994,34.14744,7.51902805331085,2.8010357873930545,0.0
10.07483,8.173779999999999,46.84956,3997.11387,0.48843,34.15487,7.44980858387621,2.775249713754799,0.0
10.1191,8.20429,46.90127,3992.84521,0.5001899999999999,34.16233,7.380033215033637,2.749256552960494,0.0
10.16331,8.234779999999999,46.95407,3988.61287,0.51034,34.16981,7.309907348049233,2.723132822386196,0.0
