date,date1,date2,date3,date4,date5,OT,OT,OT
2.31675,2.27367,49.48294,4564.06825,-0.006,43.14194,6.706605118849063,2.4983868681721293,-28.99999951
2.36133,2.31544,49.4821,4560.32531,-0.00811,43.08295,6.696400110097877,2.4945852339023724,-28.99999951
2.40592,2.35714,49.48099,4556.58857,-0.0105,43.02404,6.6864721847849236,2.490886820503861,-28.99999951
2.45052,2.39875,49.47958,4552.85794,-0.01318,42.96522,6.676851128463793,2.487302723879013,-28.99999951
2.49512,2.44029,49.47784,4549.1333,-0.01613,42.90647,6.667565915117838,2.4838437375989777,-28.99999951
2.53972,2.48174,49.47573,4545.41453,-0.01935,42.84779,6.658644674834796,2.4805203408615855,-28.99999951
2.58433,2.52312,49.47322,4541.70149,-0.02284,42.78918,6.650114664287457,2.477342687494617,-28.99999951
2.62895,2.56442,49.47029,4537.99401,-0.02658,42.73063,6.642002239918424,2.4743205959664203,-28.99999951
2.67357,2.60565,49.4669,4534.29193,-0.03057,42.67215,6.634332833646064,2.4714635403357423,-28.99999951
2.7182,2.64679,49.46302,4530.59504,-0.0348,42.61373,6.627130930960989,2.468780642092088,-28.99999951
2.76284,2.68786,49.45863,4526.90314,-0.03927,42.55535,6.620420051242815,2.4662806628231957,-28.99999951
2.80748,2.72885,49.45371,4523.216,-0.04397,42.49703,6.614222730145041,2.4639719976529433,-28.99999951
2.85212,2.76976,49.44821,4519.5334,-0.04888,42.43875,6.608560503858316,2.4618626693789984,-28.99999951
2.89677,2.8106,49.44213,4515.85508,-0.054,42.38051,6.603453895135362,2.459960323266736,-28.99999951
2.94143,2.85136,49.43544,4512.18077,-0.05932,42.3223,6.598922400857152,2.4582722224173126,-28.99999951
2.98609,2.89204,49.42811,4508.5102,-0.06483,42.26412,6.594984481027987,2.456805243668042,-28.99999951
3.03075,2.93265,49.42013,4504.84308,-0.07053,42.20596,6.591657549011219,2.455565873954946,-28.99999951
3.07542,2.97318,49.41147,4501.17911,-0.07639,42.14782,6.58895796287855,2.454560207090141,-28.99999951
3.1201,3.01363,49.40212,4497.51797,-0.08241,42.08969,6.586901017699566,2.4537939408894847,-28.99999951
3.16478,3.054,49.39206,4493.85935,-0.08858,42.03156,6.58550093865547,2.4532723746072618,-28.99999951
3.20946,3.0943,49.38127,4490.20289,-0.09489,41.97343,6.584770874833146,2.4530004066243114,-28.99999951
3.25415,3.13453,49.36974,4486.54827,-0.10132,41.9153,6.584722893579133,2.4529825323447287,-28.99999951
3.29884,3.17467,49.35746,4482.89513,-0.10787,41.85715,6.585367975304898,2.453222842260697,-28.99999951
3.34354,3.21474,49.34442,4479.2431,-0.11453,41.79897,6.586716008627426,2.4537250201422305,-28.99999951
3.38824,3.25474,49.3306,4475.59182,-0.12128,41.74077,6.588775785764361,2.4544923413217377,-28.99999951
3.43295,3.29466,49.31599,4471.9409,-0.1281,41.68254,6.591554998094471,2.4555276710401803,-28.99999951
3.47765,3.3345,49.3006,4468.28997,-0.135,41.62426,6.595060231812856,2.4568334628285284,-28.99999951
3.52237,3.37426,49.28441,4464.63862,-0.14195,41.56593,6.5992969636234315,2.458411756903091,-28.99999951
3.56709,3.41395,49.26742,4460.98647,-0.14894,41.50755,6.6042695564250185,2.4602641785584725,-28.99999951
3.61181,3.45357,49.24962,4457.33311,-0.15596,41.4491,6.6099812549548265,2.462391936544659,-28.99999951
