avg w-distance,each dim w-distance
0.162824,0.184454
0.162824,0.198158
0.162824,0.115229
0.162824,0.128250
0.162824,0.184469
0.162824,0.200872
0.162824,0.144083
0.162824,0.144083
0.162824,0.165824
