avg w-distance,each dim w-distance
0.507770,0.727623
0.507770,0.439884
0.507770,0.548411
0.507770,0.596947
0.507770,0.488845
0.507770,0.447907
0.507770,0.450512
0.507770,0.450512
0.507770,0.419288
