mse,average
0.303390,
0.301381,
0.297294,
0.294374,
0.290414,
0.287526,
0.282544,
0.277642,
0.271958,
0.268376,
0.264192,
0.260741,
0.256200,
0.252430,
0.250309,
0.246649,
0.241188,
0.236784,
0.232630,
0.229779,
0.227442,
0.224157,
0.220522,
0.216784,
0.214304,
0.213321,
0.211711,
0.209944,
0.207115,
0.205411,
0.203584,
0.202038,
0.200886,
0.200286,
0.198159,
0.195965,
0.194131,
0.191945,
0.188871,
0.188297,
0.184409,
0.182669,
0.179837,
0.178800,
0.176090,
0.173260,
0.170922,
0.169216,
0.165945,
0.164172,
0.162022,
0.156499,
0.152216,
0.147397,
0.144067,
0.141612,
0.138858,
0.134589,
0.129097,
0.125841,
0.121866,
0.117537,
0.112059,
0.107586,
0.105279,
0.101699,
0.099041,
0.094055,
0.091950,
0.086160,
0.081741,
0.078832,
0.075917,
0.074140,
0.069575,
0.066547,
0.068371,
0.063166,
0.059098,
0.059118,
0.056672,
0.055357,
0.054329,
0.053333,
0.051919,
0.052777,
0.053233,
0.054851,
0.057652,
0.060901,
0.058595,
0.060475,
0.061601,
0.063759,
0.064944,
0.067298,
0.071245,
0.072642,
0.073373,
0.075735,
0.077901,
0.081045,
0.084768,
0.084060,
0.087671,
0.088226,
0.087637,
0.088485,
0.089444,
0.090836,
0.092409,
0.093220,
0.095521,
0.096615,
0.097528,
0.096472,
0.096995,
0.096429,
0.094378,
0.094208,
0.094003,
0.093834,
0.095050,
0.094775,
0.095753,
0.091289,
0.090172,
0.087369,
0.084634,
0.081202,
0.078992,
0.078920,
0.078133,
0.076545,
0.075417,
0.072017,
0.071023,
0.069695,
0.069347,
0.067787,
0.067670,
0.066843,
0.065934,
0.066043,
0.065396,
0.066566,
0.067434,
0.067814,
0.068162,
0.070065,
0.069816,
0.069503,
0.070481,
0.071292,
0.072737,
0.073654,
0.075034,
0.076363,
0.078631,
0.079451,
0.081086,
0.082466,
0.085155,
0.086876,
0.088577,
0.090222,
0.091814,
0.093390,
0.094941,
0.096312,
0.097572,
0.098707,
0.099699,
0.100614,
0.101484,
0.102325,
0.102922,
0.103284,
0.103496,
0.103528,
0.103381,
0.103112,
0.102740,
0.102274,
0.101748,
0.101090,
0.100344,
0.099370,
0.098326,
0.097186,
0.095879,
0.094473,
0.093154,
0.091902,
0.090571,
0.089257,
0.088046,
0.086944,
0.085995,
0.085158,
0.084355,
0.083648,
0.083005,
0.082502,
0.082138,
0.081757,
0.081364,
0.081077,
0.080990,
0.081084,
0.081324,
0.081659,
0.082037,
0.082425,
0.082939,
0.083505,
0.084109,
0.084742,
0.085372,
0.085959,
0.086459,
0.086990,
0.087552,
0.088107,
0.088629,
0.089083,
0.089524,
0.089897,
0.090150,
0.090323,
0.090442,
0.090443,
0.090343,
0.090079,
0.089692,
0.089190,
0.088595,
0.087923,
0.087266,
0.086555,
0.085772,
0.084977,
0.084164,
0.083367,
0.082616,
0.081926,
0.081333,
0.080723,
0.080147,
0.079614,
0.079194,
0.078847,
0.078590,
0.078432,
0.078333,
0.078336,
0.078434,
0.078651,
0.078916,
0.079266,
0.079726,
0.080311,
0.080942,
0.081624,
0.082464,
0.083427,
0.084470,
0.085629,
0.086861,
0.088147,
0.089576,
0.091091,
0.092709,
0.094439,
0.096153,
0.097872,
0.099685,
0.101527,
0.103475,
0.105504,
0.107600,
0.109749,
0.111922,
0.114161,
0.116393,
0.118662,
0.120983,
0.123261,
0.125476,
0.127686,
0.129906,
0.132122,
0.134355,
0.136481,
0.138586,
0.140653,
0.142585,
0.144410,
0.146177,
0.147868,
0.149526,
0.151101,
0.152424,
0.153454,
0.154424,
0.155259,
0.155904,
0.156445,
0.156907,
0.157334,
0.157731,
0.158085,
0.158314,
0.158505,
0.158692,
0.158750,
0.158790,
0.158834,
0.158873,
0.158925,
0.159036,
0.159128,
0.159251,
0.159419,
0.159664,
0.159948,
0.160241,
0.160577,
0.160944,
0.161288,
0.161676,
0.162134,
0.162550,
0.162934,
0.163277,
0.163545,
0.163821,
0.164087,
0.164349,
0.164607,
0.164840,
0.165080,
0.165303,
0.165498,
0.165662,
0.165822,
0.165945,
0.165957,
0.165915,
0.165831,
0.165661,
0.165418,
0.165114,
0.164766,
0.164396,
0.164027,
0.163595,
0.163169,
0.162782,
0.162417,
0.162045,
0.161692,
0.161318,
0.160941,
0.160630,
0.160352,
0.160079,
0.159853,
0.159729,
0.159633,
0.159547,
0.159520,
0.159567,
0.159697,
0.159892,
0.160107,
0.160419,
0.160793,
0.161289,
0.161886,
0.162568,
0.163331,
0.164204,
0.165161,
0.166195,
0.167291,
0.168514,
0.169848,
0.171271,
0.172779,
0.174387,
0.176089,
0.177892,
0.179727,
0.181663,
0.183671,
0.185744,
0.187847,
0.189976,
0.192162,
0.194290,
0.196363,
0.198441,
0.200558,
0.202704,
0.204855,
0.206975,
0.209077,
0.211180,
0.213220,
0.215220,
0.217207,
0.219179,
0.221121,
0.223037,
0.224924,
0.226747,
0.228532,
0.230258,
0.231910,
0.233400,
0.234765,
0.236021,
0.237252,
0.238446,
0.239576,
0.240620,
0.241562,
0.242400,
0.243227,
0.244044,
0.244857,
0.245668,
0.246484,
0.247286,
0.248093,
0.248936,
0.249749,
0.250540,
0.251315,
0.252064,
0.252799,
0.253533,
0.254251,
0.254956,
0.255635,
0.256282,
0.256917,
0.257531,
0.258114,
0.258623,
0.259100,
0.259554,
0.259962,
0.260325,
0.260630,
0.260896,
0.261113,
0.261286,
0.261420,
0.261495,
0.261504,
0.261418,
0.261291,
0.261144,
0.260980,
0.260787,
0.260559,
0.260304,
0.260032,
0.259709,
0.259373,
0.259019,
0.258659,
0.258311,
0.257957,
0.257612,
0.257270,
0.256929,
0.256576,
0.256214,
0.255883,
0.255582,
0.255317,
0.255090,
0.254929,
0.254820,
0.254736,
0.254699,
0.254713,
0.254795,
0.254925,
0.255110,
0.255368,
0.255688,
0.256062,
0.256485,
0.256973,
0.257506,
0.258084,
0.258717,
0.259391,
0.267364,
0.274174,
0.280162,
0.281466,
0.288145,
0.298580,
0.301387,
0.303703,
0.304385,
0.307497,
0.315610,
0.325398,
0.325383,
0.329370,
0.337018,
0.338308,
0.336352,
0.339341,
0.349269,
0.349085,
0.350184,
0.359860,
0.363503,
0.373352,
0.376395,
0.379269,
0.387047,
0.394841,
0.398748,
0.402652,
0.405906,
0.414166,
0.418419,
0.421226,
0.430112,
0.443447,
0.445803,
0.452532,
0.458903,
0.464794,
0.474600,
0.482076,
0.497530,
0.504151,
0.515019,
0.518257,
0.532688,
0.543665,
0.555260,
0.572399,
0.585489,
0.608653,
0.617358,
0.639486,
0.672189,
0.704198,
0.727940,
0.760681,
0.795521,
0.824587,
0.850960,
0.884916,
0.922619,
0.949963,
0.984384,
1.016811,
1.045295,
1.074289,
1.105933,
1.133906,
1.173795,
1.204411,
1.238097,
1.272557,
1.305221,
1.323682,
1.360330,
1.389610,
1.413306,
1.445409,
1.477596,
1.502189,
1.529578,
1.557111,
1.590671,
1.608080,
1.637327,
1.663261,
1.683722,
1.703901,
1.724200,
1.743359,
1.778380,
1.804864,
1.827631,
1.848451,
1.875402,
1.913433,
1.937553,
1.962919,
2.021620,
2.038778,
2.044420,
2.040734,
2.043713,
2.082749,
2.114897,
2.122172,
2.151419,
2.115881,
2.136768,
2.169421,
2.202969,
2.226202,
2.330564,
2.270616,
2.333695,
2.317915,
2.295787,
2.296762,
2.308330,
2.245985,
2.317628,
2.345721,
2.441488,
2.549294,
2.539082,
2.575793,
2.635953,
2.629298,
2.669646,
2.768371,
2.671073,
2.672079,
2.752931,
2.636726,
2.635372,
2.605238,
2.756085,
2.841530,
2.838123,
2.865942,
2.853895,
2.678910,
2.650506,
2.723129,
2.715668,
2.543319,
2.710024,
2.836451,
2.775376,
2.654752,
2.542168,
2.473307,
2.459010,
2.379741,
2.370012,
2.407857,
2.469272,
2.519206,
2.362830,
2.380337,
2.288231,
2.297669,
2.205955,
2.170094,
2.134609,
2.076259,
2.072089,
2.042741,
1.981780,
2.000632,
1.901019,
1.853698,
1.814229,
1.816540,
1.767448,
1.739028,
1.710907,
1.721537,
1.621597,
1.624641,
1.636243,
1.657323,
1.568314,
1.496492,
1.521662,
1.491162,
1.398291,
1.312253,
1.263221,
1.195509,
1.223415,
1.158707,
1.178008,
1.165955,
1.135301,
1.102929,
1.080679,
1.089605,
1.083705,
1.064355,
1.068821,
1.057191,
1.032394,
1.012592,
1.020847,
1.047170,
1.028833,
1.046098,
1.090187,
1.095880,
1.128303,
1.112194,
1.139191,
1.116061,
1.114447,
1.106184,
1.154882,
1.163007,
1.167423,
1.195685,
1.205616,
1.214453,
1.239628,
1.254688,
1.269415,
1.287574,
1.320357,
1.360970,
1.387573,
1.396125,
1.390982,
1.410162,
1.432583,
1.459061,
1.470955,
1.489646,
1.522851,
1.557940,
1.621592,
1.635013,
1.658340,
1.692732,
1.730014,
1.784447,
1.799071,
1.846649,
1.969598,
1.972218,
1.901746,
1.926118,
1.878994,
1.868867,
1.874384,
1.884194,
1.915526,
1.887098,
1.870359,
1.878260,
1.885865,
1.887102,
1.885762,
1.909516,
1.936906,
1.972849,
1.986993,
2.027483,
2.002968,
2.055975,
2.049155,
2.038955,
1.982559,
2.019159,
2.028823,
2.034995,
2.014831,
2.033348,
2.049265,
2.039029,
2.066235,
2.122941,
2.145923,
2.179885,
2.135169,
2.082299,
2.120600,
2.114076,
2.142595,
2.160298,
2.167563,
2.146606,
2.162050,
2.209488,
2.178112,
2.202828,
2.202914,
2.227957,
2.283045,
2.286583,
2.329918,
2.345021,
2.366143,
2.364786,
2.367008,
2.386777,
2.439223,
2.476482,
2.502230,
2.526631,
2.570645,
2.588022,
2.614143,
2.633659,
2.655206,
2.688439,
2.718214,
2.746278,
2.754089,
2.764895,
2.773958,
2.804282,
2.794575,
2.803661,
2.804804,
2.798005,
2.814688,
2.838691,
2.870111,
2.904519,
2.889783,
2.879623,
2.861518,
2.891141,
2.859934,
2.819544,
2.805531,
2.780937,
2.778780,
2.776968,
2.772847,
2.766922,
2.771940,
2.732875,
2.734357,
2.693601,
2.675211,
2.653885,
2.636695,
2.621757,
2.604943,
2.591190,
2.575979,
2.555426,
2.538402,
2.522054,
2.504746,
2.495365,
2.482437,
2.477129,
2.471823,
2.463190,
2.454494,
2.453220,
2.406638,
2.375765,
2.351537,
2.360726,
2.332596,
2.326530,
2.339856,
2.298693,
2.306139,
2.267692,
2.264590,
2.303823,
2.252038,
2.225193,
2.208654,
2.180198,
2.180464,
2.195181,
2.204426,
2.181346,
2.228486,
2.206251,
2.252647,
2.285801,
2.411748,
2.279651,
2.324973,
2.318202,
2.352593,
2.328793,
2.282694,
2.311990,
2.254653,
2.198964,
2.189452,
2.169542,
2.183836,
2.220994,
2.168773,
2.192556,
2.160080,
2.079910,
2.043887,
2.035213,
2.005689,
1.990494,
1.996869,
2.008494,
1.981143,
1.951481,
1.921696,
1.924533,
1.928450,
1.895718,
1.896798,
1.951642,
1.944386,
1.984450,
1.890306,
1.895700,
1.836722,
1.851743,
1.796192,
1.826813,
1.808599,
1.771046,
1.835359,
1.850549,
1.854411,
1.900964,
1.831000,
1.829255,
1.856384,
1.918664,
1.894128,
1.900037,
1.912489,
1.917028,
1.969098,
1.987231,
2.110449,
2.179702,
2.144717,
2.214984,
2.284034,
2.347041,
2.354964,
2.311039,
2.327586,
2.338645,
2.370464,
2.411909,
2.446337,
2.499122,
2.571278,
2.611915,
2.591119,
2.641346,
2.663077,
2.683534,
2.703401,
2.721543,
2.738109,
2.752517,
2.765564,
2.778630,
2.790945,
2.802263,
2.812329,
2.821373,
2.830008,
2.837705,
2.844414,
2.849290,
2.852493,
2.853943,
2.852923,
2.850431,
2.846581,
2.841269,
2.834145,
2.825929,
2.817451,
2.806486,
2.792864,
2.776341,
2.757185,
2.735204,
2.708490,
2.679905,
2.653634,
2.631118,
2.611848,
2.594694,
2.585314,
2.569227,
2.571576,
2.550549,
2.558138,
2.583137,
2.581199,
2.567522,
2.571833,
2.587028,
2.617820,
2.623899,
2.599876,
2.601027,
2.620743,
2.627265,
2.626830,
2.617979,
2.625822,
2.601827,
2.584203,
2.587333,
2.561435,
2.569114,
2.534072,
2.518025,
2.500958,
2.484119,
2.466368,
2.437958,
2.417836,
2.388988,
2.378100,
2.351342,
2.333320,
2.320234,
2.287880,
2.262875,
2.228901,
2.187473,
2.164726,
2.121564,
2.100335,
2.049212,
2.015568,
1.959365,
1.914983,
1.847180,
1.791939,
1.745795,
1.693160,
1.664635,
1.612358,
1.546759,
1.513921,
1.462403,
1.419783,
1.392496,
1.364836,
1.311710,
1.294328,
1.257267,
1.212934,
1.175997,
1.160278,
1.138101,
1.121713,
1.087689,
1.054756,
1.019217,
0.999366,
0.964644,
0.941380,
0.933912,
0.907099,
0.875804,
0.847351,
0.820039,
0.795198,
0.785188,
0.760307,
0.748646,
0.741074,
0.756649,
0.759264,
0.713715,
0.694658,
0.681035,
0.672912,
0.653541,
0.619422,
0.604806,
0.616010,
0.601078,
0.575785,
0.555181,
0.530234,
0.526927,
0.527528,
0.517485,
0.548080,
0.547100,
0.588687,
0.582895,
0.536126,
0.598505,
0.583608,
0.540078,
0.521500,
0.508411,
0.527675,
0.460373,
0.407703,
0.391941,
0.384704,
0.366327,
0.329011,
0.342185,
0.335550,
0.359308,
0.380338,
0.435122,
0.369430,
0.399402,
0.355286,
0.356118,
0.347075,
0.335830,
0.320442,
0.299827,
0.290945,
0.305976,
0.265720,
0.239381,
0.221036,
0.208977,
0.198632,
0.194730,
0.176577,
0.163856,
0.148436,
0.136328,
0.125058,
0.120633,
0.125042,
0.114691,
0.112164,
0.103228,
0.096631,
0.104784,
0.107601,
0.105943,
0.102776,
0.093395,
0.098109,
0.111391,
0.112920,
0.114507,
0.105918,
0.104380,
0.107614,
0.110651,
0.109783,
0.101665,
0.105259,
0.099046,
0.095357,
0.101276,
0.106743,
0.112020,
0.113478,
0.116657,
0.111210,
0.110907,
0.117771,
0.116377,
0.125027,
0.127033,
0.130494,
0.132683,
0.119430,
0.110150,
0.100177,
0.097901,
0.086271,
0.085666,
0.083487,
0.086108,
0.079185,
0.087308,
0.085708,
0.089578,
0.096121,
0.073519,
0.073859,
0.077332,
0.063619,
0.060804,
0.060443,
0.063332,
0.062912,
0.062602,
0.062335,
0.062252,
0.062427,
0.062829,
0.063224,
0.063718,
0.064385,
0.065240,
0.066225,
0.067321,
0.068625,
0.070150,
0.071684,
0.073245,
0.074905,
0.076686,
0.078634,
0.080727,
0.082916,
0.085191,
0.087581,
0.089959,
0.092284,
0.094693,
0.097256,
0.099751,
0.102206,
0.104588,
0.106897,
0.109094,
0.111181,
0.113241,
0.115307,
0.117360,
0.119398,
0.121364,
0.123269,
0.125000,
0.126679,
0.128264,
0.129682,
0.130811,
0.131667,
0.132269,
0.132633,
0.132729,
0.132707,
0.132600,
0.132427,
0.132135,
0.131764,
0.131290,
0.130739,
0.130172,
0.129552,
0.128912,
0.128242,
0.127554,
0.127006,
0.126540,
0.126001,
0.125458,
0.125007,
0.124559,
0.124153,
0.123881,
0.123742,
0.123710,
0.123791,
0.123998,
0.124202,
0.124451,
0.124808,
0.125180,
0.125586,
0.126063,
0.126600,
0.127120,
0.127627,
0.128156,
0.128628,
0.129082,
0.129518,
0.129916,
0.130220,
0.130534,
0.130775,
0.130953,
0.131102,
0.131185,
0.131209,
0.131173,
0.131031,
0.130769,
0.130383,
0.129907,
0.129308,
0.128649,
0.127932,
0.127156,
0.126327,
0.125442,
0.124537,
0.123675,
0.122810,
0.121945,
0.121083,
0.120165,
0.119317,
0.118521,
0.117887,
0.117377,
0.116947,
0.116607,
0.116372,
0.116235,
0.116223,
0.116302,
0.116392,
0.116582,
0.116862,
0.117265,
0.117832,
0.118527,
0.119292,
0.120170,
0.121072,
0.121987,
0.123002,
0.124184,
0.125566,
0.127104,
0.128770,
0.130540,
0.132483,
0.134554,
0.136696,
0.138926,
0.141240,
0.143677,
0.146250,
0.148924,
0.151683,
0.154446,
0.157211,
0.160038,
0.162836,
0.165525,
0.168161,
0.170797,
0.173356,
0.175893,
0.178406,
0.180850,
0.183228,
0.185565,
0.187828,
0.190020,
0.192175,
0.194299,
0.196402,
0.198447,
0.200305,
0.202036,
0.203693,
0.205167,
0.206510,
0.207665,
0.208605,
0.209390,
0.210103,
0.210730,
0.211317,
0.211781,
0.212184,
0.212600,
0.213070,
0.213672,
0.214295,
0.214787,
0.215236,
0.215717,
0.216215,
0.216697,
0.217214,
0.217718,
0.218212,
0.218692,
0.219186,
0.219690,
0.220170,
0.220657,
0.221179,
0.221688,
0.222161,
0.222549,
0.222906,
0.223206,
0.223490,
0.223738,
0.223947,
0.224132,
0.224302,
0.224437,
0.224484,
0.224476,
0.224405,
0.224267,
0.224084,
0.223835,
0.223515,
0.223146,
0.222729,
0.222280,
0.221832,
0.221361,
0.220864,
0.220364,
0.219881,
0.219322,
0.218761,
0.218208,
0.217652,
0.217107,
0.216588,
0.216077,
0.215601,
0.215181,
0.214783,
0.214438,
0.214199,
0.214021,
0.213905,
0.213833,
0.213802,
0.213863,
0.214025,
0.214296,
0.214701,
0.215195,
0.215798,
0.216498,
0.217314,
0.218226,
0.219219,
0.220313,
0.221495,
0.222759,
0.224132,
0.225588,
0.227140,
0.228805,
0.230555,
0.232373,
0.234247,
0.236159,
0.238126,
0.240150,
0.242231,
0.244337,
0.246462,
0.248545,
0.250619,
0.252700,
0.254768,
0.256798,
0.258818,
0.260836,
0.262849,
0.264825,
0.266780,
0.268737,
0.270687,
0.272631,
0.274525,
0.276342,
0.278120,
0.279828,
0.281458,
0.282980,
0.284417,
0.285773,
0.287071,
0.288331,
0.289556,
0.290763,
0.291952,
0.293133,
0.294276,
0.295408,
0.296526,
0.297532,
0.298504,
0.299466,
0.300427,
0.301410,
0.302424,
0.303418,
0.304393,
0.305348,
0.306260,
0.307126,
0.307914,
0.308649,
0.309361,
0.310042,
0.310680,
0.311281,
0.311782,
0.312259,
0.312688,
0.313087,
0.313435,
0.313713,
0.313905,
0.314025,
0.314040,
0.313994,
0.313920,
0.313802,
0.313632,
0.313399,
0.313091,
0.312727,
0.312304,
0.311822,
0.311307,
0.310765,
0.310185,
0.309594,
0.309001,
0.308391,
0.307743,
0.307069,
0.306380,
0.338928,
0.374153,
0.403408,
0.427083,
0.465101,
0.502474,
0.527850,
0.554802,
0.580923,
0.608565,
0.645056,
0.682688,
0.704365,
0.733743,
0.768676,
0.790775,
0.808842,
0.834345,
0.867232,
0.884323,
0.902905,
0.934219,
0.953863,
0.984595,
1.000745,
1.017746,
1.039179,
1.061389,
1.074849,
1.085349,
1.093206,
1.109663,
1.116158,
1.120571,
1.133307,
1.151244,
1.151481,
1.154394,
1.155997,
1.156650,
1.162174,
1.160549,
1.171163,
1.166197,
1.167713,
1.152847,
1.156038,
1.155297,
1.152863,
1.157935,
1.155736,
1.168717,
1.158251,
1.146992,
1.150911,
1.157360,
1.155170,
1.161230,
1.166582,
1.163240,
1.167591,
1.177485,
1.183683,
1.185683,
1.188427,
1.195910,
1.200696,
1.196140,
1.195647,
1.192520,
1.207824,
1.201781,
1.197674,
1.210522,
1.210825,
1.195537,
1.199973,
1.191334,
1.174394,
1.164538,
1.150270,
1.138483,
1.133085,
1.121202,
1.117488,
1.099927,
1.101253,
1.087686,
1.064527,
1.047772,
1.020093,
1.004336,
1.009085,
1.006284,
0.991214,
0.976986,
0.975273,
0.982448,
0.982190,
0.979428,
0.936316,
0.907676,
0.940272,
0.943124,
0.772950,
0.846320,
0.704130,
0.691579,
0.689921,
0.668108,
0.738905,
0.603590,
0.584678,
0.662059,
0.519940,
0.528464,
0.538982,
0.524616,
0.515082,
0.490826,
0.526596,
0.516872,
0.543792,
0.558202,
0.580252,
0.612585,
0.748488,
0.663890,
0.696981,
0.733730,
0.814250,
0.804546,
0.832770,
0.856526,
0.796106,
0.786453,
0.813379,
0.863488,
0.918206,
1.099165,
0.983057,
1.013350,
1.002970,
1.006129,
1.074564,
1.095663,
1.126486,
1.188817,
1.185854,
1.243059,
1.302915,
1.350697,
1.379142,
1.393662,
1.434722,
1.504654,
1.552677,
1.625069,
1.652226,
1.739816,
1.615901,
1.663990,
1.602350,
1.715543,
1.647590,
1.689794,
1.712765,
1.652120,
1.782717,
1.847456,
1.842087,
1.941816,
1.779199,
1.739925,
1.762732,
1.836857,
1.771186,
1.758508,
1.749666,
1.771888,
1.758679,
1.713486,
1.831485,
1.838780,
1.724741,
1.773012,
1.801342,
1.798293,
1.765802,
1.687351,
1.661955,
1.629379,
1.642284,
1.607031,
1.628977,
1.655352,
1.663135,
1.631958,
1.557835,
1.513773,
1.506209,
1.494670,
1.483415,
1.471685,
1.460756,
1.450731,
1.443127,
1.436249,
1.424869,
1.414532,
1.402408,
1.387955,
1.378786,
1.364984,
1.352315,
1.336235,
1.320560,
1.304568,
1.293636,
1.279708,
1.259524,
1.242036,
1.224518,
1.204734,
1.185234,
1.159474,
1.135630,
1.112913,
1.092318,
1.063683,
1.039941,
1.012462,
0.987138,
0.961917,
0.935535,
0.912994,
0.886662,
0.857413,
0.833890,
0.808382,
0.782833,
0.756011,
0.731578,
0.708302,
0.684188,
0.662191,
0.643221,
0.624733,
0.608365,
0.590963,
0.572931,
0.556690,
0.541994,
0.525393,
0.510802,
0.497585,
0.483994,
0.472986,
0.462014,
0.451036,
0.444694,
0.434350,
