mse,average
0.176020,0.447995
0.192470,
0.216044,
0.234305,
0.235422,
0.240231,
0.229780,
0.229218,
0.229880,
0.240872,
0.244493,
0.261475,
0.264270,
0.260121,
0.271959,
0.226007,
0.204225,
0.201925,
0.207459,
0.223630,
0.225905,
0.233190,
0.276798,
0.334140,
0.337314,
0.349006,
0.348036,
0.364120,
0.366932,
0.382419,
0.380213,
0.381952,
0.317567,
0.250794,
0.256929,
0.200941,
0.198316,
0.197623,
0.199667,
0.234615,
0.302392,
0.366502,
0.447686,
0.549635,
0.598984,
0.647994,
0.671775,
0.563640,
0.631352,
0.635482,
0.620755,
0.611345,
0.551078,
0.510952,
0.467231,
0.412799,
0.357361,
0.287948,
0.243309,
0.205256,
0.182333,
0.175483,
0.231050,
0.374996,
0.458516,
0.466593,
0.481993,
0.405567,
0.369731,
0.341350,
0.312806,
0.283703,
0.265593,
0.248568,
0.237803,
0.234745,
0.232865,
0.231375,
0.235211,
0.242110,
0.234999,
0.220361,
0.214841,
0.221452,
0.207533,
0.218123,
0.269241,
0.175967,
0.187391,
0.210470,
0.222651,
0.225904,
0.239535,
0.238282,
0.241354,
0.250670,
0.266036,
0.280761,
0.298841,
0.349156,
0.378163,
0.396737,
0.414482,
0.408625,
0.373470,
0.387943,
0.460286,
0.307239,
0.309036,
0.323820,
0.323396,
0.318323,
0.327316,
0.320906,
0.322636,
0.328839,
0.338239,
0.344043,
0.343364,
0.352002,
0.352102,
0.346914,
0.354530,
0.366079,
0.311726,
0.323005,
0.425071,
0.211417,
0.237401,
0.265254,
0.258176,
0.241173,
0.256138,
0.243276,
0.242918,
0.250739,
0.260114,
0.279102,
0.287748,
0.297888,
0.319115,
0.316370,
0.338757,
0.366125,
0.316396,
0.335485,
0.472716,
0.478852,
0.484678,
0.489535,
0.494210,
0.501700,
0.510960,
0.518655,
0.523587,
0.524960,
0.527110,
0.532230,
0.537537,
0.542746,
0.548042,
0.553442,
0.558606,
0.028078,
0.036426,
0.034533,
0.022932,
0.017345,
0.031775,
0.024487,
0.022897,
0.037138,
0.040782,
0.037327,
0.043324,
0.051970,
0.061501,
0.036076,
0.039032,
0.054720,
0.034138,
0.048263,
0.245596,
0.050004,
0.068622,
0.068950,
0.080033,
0.094596,
0.119054,
0.110322,
0.111534,
0.128357,
0.101647,
0.068613,
0.064730,
0.053582,
0.054743,
0.049255,
0.057976,
0.078556,
0.062659,
0.073236,
0.168079,
0.082485,
0.087641,
0.075231,
0.070123,
0.069526,
0.078002,
0.062471,
0.064015,
0.090253,
0.085580,
0.070251,
0.077619,
0.067676,
0.071107,
0.058813,
0.060850,
0.071220,
0.052024,
0.058941,
0.101734,
0.070751,
0.063636,
0.062723,
0.071942,
0.083544,
0.093815,
0.080244,
0.084783,
0.099227,
0.100592,
0.088029,
0.096937,
0.083161,
0.085149,
0.076124,
0.077605,
0.084621,
0.061588,
0.065011,
0.089717,
0.113796,
0.083503,
0.068008,
0.095662,
0.117844,
0.108284,
0.074857,
0.080155,
0.089479,
0.105224,
0.093960,
0.145534,
0.124097,
0.132102,
0.131087,
0.137846,
0.150965,
0.122409,
0.115057,
0.135567,
0.132277,
0.129153,
0.125596,
0.122170,
0.119970,
0.118457,
0.117281,
0.117002,
0.117426,
0.117702,
0.117937,
0.118062,
0.117529,
0.117376,
0.118727,
0.121273,
0.123374,
0.124478,
0.123967,
0.123083,
0.122332,
0.122328,
0.121226,
0.120435,
0.120111,
0.119191,
0.118137,
0.117031,
0.115344,
0.113690,
0.112621,
0.112756,
0.113192,
0.113678,
0.114260,
0.114834,
0.112733,
0.110142,
0.107792,
0.106055,
0.104941,
0.104482,
0.104736,
0.105616,
0.106364,
0.109923,
0.109449,
0.110151,
0.117607,
0.131431,
0.144795,
0.148134,
0.142737,
0.144788,
0.150427,
0.156991,
0.160654,
0.163600,
0.166309,
0.170271,
0.174617,
0.177736,
0.178511,
0.176195,
0.173545,
0.176720,
0.185785,
0.193653,
0.198491,
0.200372,
0.194670,
0.176491,
0.159226,
0.147399,
0.141328,
0.141213,
0.144070,
0.149367,
0.155470,
0.162265,
0.168854,
0.176056,
0.182128,
0.187994,
0.194906,
0.200983,
0.198846,
0.190900,
0.180743,
0.174194,
0.170166,
0.163250,
0.155113,
0.146190,
0.138403,
0.132451,
0.128427,
0.126647,
0.125881,
0.124989,
0.124117,
0.123278,
0.122298,
0.121330,
0.120757,
0.120311,
0.120364,
0.121374,
0.122848,
0.124750,
0.127872,
0.132879,
0.139481,
0.147544,
0.155795,
0.162329,
0.166732,
0.170294,
0.174297,
0.178427,
0.183356,
0.188753,
0.194768,
0.200715,
0.206330,
0.211245,
0.215588,
0.220800,
0.226638,
0.233586,
0.240932,
0.247201,
0.251890,
0.255792,
0.258630,
0.261811,
0.087255,
0.154077,
0.186971,
0.222300,
0.164492,
0.161926,
0.267131,
0.187925,
0.157319,
0.148978,
0.073114,
0.055954,
0.064363,
0.046394,
0.063097,
0.049544,
0.047391,
0.070162,
0.040385,
0.113996,
0.048575,
0.045461,
0.046575,
0.050150,
0.048249,
0.054074,
0.053482,
0.054129,
0.053061,
0.048465,
0.042178,
0.041093,
0.039231,
0.036172,
0.048493,
0.041309,
0.037852,
0.035130,
0.044663,
0.079937,
0.055652,
0.056017,
0.061068,
0.068418,
0.075924,
0.084530,
0.093284,
0.122064,
0.165276,
0.197835,
0.215349,
0.204917,
0.200260,
0.198056,
0.202904,
0.197758,
0.190479,
0.183089,
0.181488,
0.192366,
0.174084,
0.177194,
0.173815,
0.169827,
0.164180,
0.172637,
0.171425,
0.169666,
0.163637,
0.153950,
0.137991,
0.113516,
0.103350,
0.102786,
0.105937,
0.108487,
0.109780,
0.112939,
0.112325,
0.115991,
0.117074,
0.125412,
0.135971,
0.152155,
0.141394,
0.136630,
0.140706,
0.143734,
0.141656,
0.146912,
0.138630,
0.123396,
0.111974,
0.104660,
0.087102,
0.086876,
0.081967,
0.074539,
0.075632,
0.055370,
0.055096,
0.053244,
0.050662,
0.047422,
0.042609,
0.037280,
0.031560,
0.026089,
0.021467,
0.017183,
0.013275,
0.010595,
0.009748,
0.009349,
0.009123,
0.009062,
0.009029,
0.009104,
0.009320,
0.009554,
0.009937,
0.010416,
0.010836,
0.011164,
0.011162,
0.010867,
0.010687,
0.010650,
0.010824,
0.011167,
0.011625,
0.012590,
0.014578,
0.017953,
0.021571,
0.025312,
0.028082,
0.030449,
0.032329,
0.032775,
0.031918,
0.030428,
0.028115,
0.025354,
0.022766,
0.021513,
0.021165,
0.021062,
0.022682,
0.026693,
0.030590,
0.034922,
0.038975,
0.043403,
0.047044,
0.051229,
0.056777,
0.062841,
0.066796,
0.066679,
0.062120,
0.056797,
0.051390,
0.045921,
0.041705,
0.039120,
0.037419,
0.037421,
0.038640,
0.040598,
0.044176,
0.048330,
0.053510,
0.064652,
0.081372,
0.098347,
0.114511,
0.123521,
0.129326,
0.132376,
0.133650,
0.131071,
0.127258,
0.120688,
0.111407,
0.098321,
0.085476,
0.075894,
0.069410,
0.065655,
0.063076,
0.061523,
0.063013,
0.066730,
0.067989,
0.065564,
0.061325,
0.058757,
0.054100,
0.049658,
0.046771,
0.044410,
0.041588,
0.039902,
0.041309,
0.044235,
0.048873,
0.054624,
0.061438,
0.068019,
0.072650,
0.074922,
0.076211,
0.078100,
0.081161,
0.085217,
0.090555,
0.094444,
0.098080,
0.098138,
0.096483,
0.094173,
0.091499,
0.088281,
0.084373,
0.079092,
0.073339,
0.067695,
0.062835,
0.058117,
0.053489,
0.049794,
0.047237,
0.045685,
0.045097,
0.044452,
0.043377,
0.042415,
0.041987,
0.041917,
0.041546,
0.041349,
0.040752,
0.039937,
0.039060,
0.037866,
0.036452,
0.034952,
0.034045,
0.033888,
0.034101,
0.035232,
0.037018,
0.039033,
0.040836,
0.043270,
0.047204,
0.052121,
0.056351,
0.058886,
0.060486,
0.060831,
0.060651,
0.060365,
0.058983,
0.056769,
0.054547,
0.052675,
0.050946,
0.050129,
0.050262,
0.052435,
0.055978,
0.059636,
0.062610,
0.064899,
0.065572,
0.065029,
0.064272,
0.063847,
0.063202,
0.062925,
0.062754,
0.062337,
0.062212,
0.061646,
0.060555,
0.058718,
0.056632,
0.054804,
0.053067,
0.050687,
0.048036,
0.045645,
0.043626,
0.042408,
0.042170,
0.042875,
0.043390,
0.044263,
0.045133,
0.046651,
0.047925,
0.050108,
0.052699,
0.053040,
0.051538,
0.048537,
0.045328,
0.041947,
0.038730,
0.035079,
0.032062,
0.029295,
0.026729,
0.025041,
0.023846,
0.023330,
0.022788,
0.022451,
0.022398,
0.022519,
0.022954,
0.023210,
0.023152,
0.023271,
0.023713,
0.024528,
0.025734,
0.027412,
0.029756,
0.032421,
0.034811,
0.037083,
0.039431,
0.042365,
0.045557,
0.048461,
0.050448,
0.052076,
0.053684,
0.054916,
0.056217,
0.056797,
0.056860,
0.057265,
0.057384,
0.056884,
0.056317,
0.056107,
0.056502,
0.057020,
0.057583,
0.058397,
0.059693,
0.061156,
