mse,average
1.458631,
1.510512,
1.559137,
1.606940,
1.654523,
1.701223,
1.748008,
1.794238,
1.840328,
1.885712,
1.931569,
1.974072,
2.013940,
2.052209,
2.088084,
2.121351,
2.151872,
2.179290,
2.206969,
2.231127,
2.253508,
2.274717,
2.294033,
2.311999,
2.327432,
2.343699,
2.358448,
2.374199,
2.388344,
2.406402,
2.424264,
2.442479,
2.461814,
2.481019,
2.501984,
2.522021,
2.543519,
2.561378,
2.578715,
2.594414,
2.610822,
2.629537,
2.649607,
2.670840,
2.695222,
2.721489,
2.746933,
2.774111,
2.806018,
2.837226,
2.866780,
2.894892,
2.920431,
2.945286,
2.969420,
2.991918,
3.010525,
3.027070,
3.043892,
3.059136,
3.075033,
3.089154,
3.103651,
3.116503,
3.128298,
3.137808,
3.145615,
3.152073,
3.159112,
3.165758,
3.172289,
3.178809,
3.186901,
3.196100,
3.204932,
3.213686,
0.804163,
0.348627,
0.353798,
0.372382,
0.478526,
0.428459,
0.383118,
0.374265,
0.542509,
0.458893,
0.405950,
0.507455,
0.502718,
0.488212,
0.488219,
0.521335,
0.560007,
0.593225,
0.646444,
0.341313,
0.700242,
0.343892,
0.316679,
0.322028,
0.373191,
0.315029,
0.313942,
0.264795,
0.295546,
0.263966,
0.250662,
0.288209,
0.270335,
0.311043,
0.310255,
0.282794,
0.255806,
0.191836,
0.177986,
0.345017,
0.213323,
0.220199,
0.259168,
0.239104,
0.232953,
0.247512,
0.266377,
0.251328,
0.213709,
0.278240,
0.301847,
0.263171,
0.295683,
0.239012,
0.221680,
0.339687,
0.276283,
0.202045,
0.263926,
0.687742,
0.256006,
0.281284,
0.376666,
0.330891,
0.314759,
0.357316,
0.381813,
0.311462,
0.248557,
0.316327,
0.326505,
0.264796,
0.269706,
0.278082,
0.251254,
0.324078,
0.229119,
0.139032,
0.087355,
0.205818,
0.224030,
0.247568,
0.307888,
0.228996,
0.219468,
0.302661,
0.329807,
0.239580,
0.253625,
0.223152,
0.224597,
0.223395,
0.202723,
0.239488,
0.231222,
0.305174,
0.290057,
0.256133,
0.233004,
0.373635,
0.388129,
0.397780,
0.408613,
0.420407,
0.432081,
0.433326,
0.437148,
0.438125,
0.430619,
0.432529,
0.422921,
0.413916,
0.399011,
0.434471,
0.442627,
0.453946,
0.483879,
0.500136,
0.513462,
0.515175,
0.542108,
0.553642,
0.569363,
0.582917,
0.599937,
0.597429,
0.604157,
0.599608,
0.583946,
0.582609,
0.560637,
0.529760,
0.489107,
0.527588,
0.512648,
0.507528,
0.540069,
0.549531,
0.533606,
0.501219,
0.524063,
0.510423,
0.510781,
0.506454,
0.497443,
0.484116,
0.337638,
0.298743,
0.255641,
0.228050,
0.221578,
0.208563,
0.219700,
0.249676,
0.246015,
0.274220,
0.233516,
0.184956,
0.184462,
0.163361,
0.159325,
0.168289,
0.179291,
0.197110,
0.228528,
0.250070,
0.258421,
0.275194,
0.287442,
0.292744,
0.298131,
0.306553,
0.309181,
0.303695,
0.304183,
0.290014,
0.282594,
0.272329,
0.260892,
0.251794,
0.251917,
0.248715,
0.246942,
0.243775,
0.255400,
0.261444,
0.233957,
0.232793,
0.220535,
0.197911,
0.183777,
0.186358,
0.186481,
0.168699,
0.177760,
0.165457,
0.173144,
0.175438,
0.170266,
0.167739,
0.181154,
0.183759,
0.193870,
0.196387,
