mse,average
0.144334,
0.166136,
0.187855,
0.207481,
0.230607,
0.250968,
0.264098,
0.260978,
0.244722,
0.223677,
0.198985,
0.174403,
0.151862,
0.134724,
0.123643,
0.116990,
0.114213,
0.114355,
0.115958,
0.117454,
0.119454,
0.122449,
0.126631,
0.081126,
0.059127,
0.056542,
0.062918,
0.089110,
0.102866,
0.093643,
0.112929,
0.111403,
0.079000,
0.069627,
0.077994,
0.083265,
0.079944,
0.066364,
0.050909,
0.038198,
0.036857,
0.039583,
0.061701,
0.041311,
0.039482,
0.042753,
0.037291,
0.032695,
0.035820,
0.036846,
0.032777,
0.040002,
0.040123,
0.040461,
0.043245,
0.046056,
0.050925,
0.055897,
0.069148,
0.085800,
0.090160,
0.112064,
0.142363,
0.112947,
0.119882,
0.127452,
0.114151,
0.101499,
0.105669,
0.104582,
0.093910,
0.099508,
0.095251,
0.085676,
0.075538,
0.062440,
0.054508,
0.044109,
0.052736,
0.068226,
0.064331,
0.092035,
0.141030,
0.091404,
0.107215,
0.133463,
0.121383,
0.123422,
0.144174,
0.158028,
0.159496,
0.175530,
0.190900,
0.195727,
0.196896,
0.193759,
0.191611,
0.180453,
0.187476,
0.209518,
0.195933,
0.211937,
0.286822,
0.202709,
0.182707,
0.180749,
0.130059,
0.109917,
0.105247,
0.098478,
0.088148,
0.087169,
0.094077,
0.090188,
0.084169,
0.076997,
0.071084,
0.062493,
0.069407,
0.101188,
0.101179,
0.127869,
0.272909,
0.277663,
0.281455,
0.284024,
0.284905,
0.285432,
0.286464,
0.288589,
0.291248,
0.295165,
0.300606,
0.305648,
0.310189,
0.313828,
0.318729,
0.325417,
0.336390,
0.354347,
0.381945,
0.202774,
0.173396,
0.195630,
0.222151,
0.265402,
0.284435,
0.280369,
0.286273,
0.286923,
0.264146,
0.254915,
0.268406,
0.268382,
0.253242,
0.232471,
0.237364,
0.252049,
0.281900,
0.327540,
0.436907,
0.498134,
0.599231,
0.718152,
0.807600,
0.872939,
0.906574,
0.912579,
0.906412,
0.889519,
0.870822,
0.848328,
0.841291,
0.829675,
0.818905,
0.805027,
0.791752,
0.784442,
0.776261,
0.769064,
0.772399,
0.759893,
0.728114,
0.687282,
0.602959,
0.552333,
0.501619,
0.444566,
0.382196,
0.330050,
0.284883,
0.248797,
0.226663,
0.200752,
0.181840,
0.161239,
0.151020,
0.130180,
0.127885,
0.125164,
0.121570,
0.139630,
0.135204,
0.144127,
0.103740,
0.100044,
0.095691,
0.093962,
0.088267,
0.089663,
0.078142,
0.069320,
0.067096,
0.057599,
0.051843,
0.044393,
0.039302,
0.033852,
0.036029,
0.044586,
0.055089,
0.067135,
0.069525,
0.073138,
0.063012,
0.058126,
0.047656,
0.040565,
0.033772,
0.034940,
0.031697,
0.029721,
0.031957,
0.029645,
0.030192,
0.033816,
0.037922,
0.061544,
0.059059,
0.073721,
0.080706,
0.082874,
0.085363,
0.087738,
0.090264,
0.092582,
0.093980,
0.094933,
0.096558,
0.098857,
0.101700,
0.104848,
0.108033,
0.111205,
0.114495,
0.118171,
0.122104,
0.126277,
0.130289,
0.133955,
0.138112,
0.143209,
0.148872,
0.154463,
0.158505,
0.162462,
0.165986,
0.169101,
0.171929,
0.174915,
0.177522,
0.180312,
0.182876,
0.185817,
0.188602,
0.191528,
0.193781,
0.195357,
0.196610,
0.198866,
0.072571,
0.056465,
0.059117,
0.083899,
0.113361,
0.124792,
0.092121,
0.094175,
0.161937,
0.117859,
0.098096,
0.129840,
0.136144,
0.135171,
0.095284,
0.066812,
0.023017,
0.018257,
0.012603,
0.021509,
0.007216,
0.010664,
0.020868,
0.034855,
0.045014,
0.042380,
0.031877,
0.017549,
0.030831,
0.011211,
0.005361,
0.014789,
0.013028,
0.017820,
0.008756,
0.016506,
0.007908,
0.009181,
0.016677,
0.025797,
0.020428,
0.029917,
0.044314,
0.065179,
0.094479,
0.144621,
0.217785,
0.308643,
0.435753,
0.550722,
0.685125,
0.831111,
0.956015,
1.062346,
1.122992,
1.149064,
1.129889,
1.083006,
1.005403,
0.923054,
0.820467,
0.718178,
0.618430,
0.519832,
0.425296,
0.333605,
0.247350,
0.174088,
0.122157,
0.074361,
0.044208,
0.025205,
0.013433,
0.011155,
0.014794,
0.014666,
0.013531,
0.014060,
0.014119,
0.025457,
0.020442,
0.011963,
0.010589,
0.010317,
0.009196,
0.009617,
0.010468,
0.011311,
0.021413,
0.012334,
0.013214,
0.014824,
0.016099,
0.020155,
0.026429,
0.018184,
0.016889,
0.015989,
0.020772,
0.016256,
0.016910,
0.017547,
0.018081,
0.018459,
0.018687,
0.018762,
0.018943,
0.019037,
0.018903,
0.018784,
0.018229,
0.017945,
0.018119,
0.018583,
0.019204,
0.019723,
0.020216,
0.020850,
