avg w-distance,each dim w-distance
0.548285,0.583738
0.548285,0.607023
0.548285,0.729110
0.548285,0.713659
0.548285,0.420926
0.548285,0.671003
0.548285,0.441695
0.548285,0.441695
0.548285,0.325716
