avg w-distance,each dim w-distance
0.188929,0.208159
0.188929,0.243811
0.188929,0.116575
0.188929,0.124050
0.188929,0.179858
0.188929,0.187242
0.188929,0.209606
0.188929,0.209547
0.188929,0.221518
