date,date,date,date,date,date,OT,OT,OT
2.46644,2.46948,49.71424,4843.57614,-0.83052,45.07603,7.891609338995524,2.9398321195142203,0.0
2.51217,2.51544,49.60989,4839.34603,-0.81586,45.16357,7.9943079805114845,2.978090065642801,36.999999368848044
2.55778,2.56143,49.50758,4835.05499,-0.79985,45.25231,8.095804990646469,3.0159003724651434,36.999999368848044
2.60328,2.60745,49.40746,4830.70342,-0.78251,45.34226,8.195834690149393,3.0531640674697775,36.999999368848044
2.64867,2.65351,49.30972,4826.29187,-0.76386,45.43339,8.294120943457452,3.0897782828939944,36.999999368848044
2.69395,2.6996,49.21449,4821.82108,-0.74393,45.52569,8.39038400517854,3.1256388062186904,36.999999368848044
2.73911,2.74572,49.12195,4817.29193,-0.72275,45.61914,8.48434198349321,3.1606406253241,36.999999368848044
2.78415,2.79188,49.03225,4812.70547,-0.70034,45.71372,8.575712409400806,3.194678513075274,36.999999368848044
2.82907,2.83806,48.94552,4808.06292,-0.67675,45.80939,8.664213899784857,3.2276476468576902,36.999999368848044
2.87387,2.88429,48.86193,4803.36568,-0.65202,45.90613,8.749567900032758,3.2594442577489415,36.999999368848044
2.91855,2.93054,48.78159,4798.61529,-0.6262,46.00391,8.831500489684625,3.289966303170439,36.999999368848044
2.96311,2.97683,48.70464,4793.81346,-0.59933,46.10269,8.909744232605396,3.319114156125205,36.999999368848044
3.00754,3.02315,48.6312,4788.96208,-0.57146,46.20243,8.98404005139753,3.3467913034659174,36.999999368848044
3.05185,3.0695,48.56138,4784.06318,-0.54266,46.3031,9.054139104228996,3.3729050450627236,36.999999368848044
3.09603,3.11589,48.4953,4779.11893,-0.51299,46.40464,9.119804641172395,3.3973671853384007,36.999999368848044
3.14009,3.16231,48.43305,4774.13166,-0.48251,46.50701,9.18081381636188,3.420094708344494,36.999999368848044
3.18401,3.20876,48.37471,4769.10384,-0.45128,46.61016,9.236959431991211,3.441010427446475,36.999999368848044
3.22781,3.25525,48.32038,4764.03806,-0.41938,46.71404,9.288051590346841,3.46004360074954,36.999999368848044
3.27147,3.30177,48.27013,4758.93703,-0.38688,46.8186,9.333919230714248,3.47713050363665,36.999999368848044
3.31501,3.34832,48.224,4753.80356,-0.35386,46.92378,9.374411529163746,3.492214950225581,36.999999368848044
3.35841,3.3949,48.18206,4748.64059,-0.32039,47.02952,9.409399140868938,3.5052487561652343,36.999999368848044
3.40168,3.44152,48.14435,4743.4511,-0.28656,47.13576,9.438775266665528,3.516192135956852,36.999999368848044
3.44481,3.48816,48.1109,4738.23818,-0.25244,47.24244,9.462456528080125,3.525014028925277,36.999999368848044
3.48781,3.53484,48.08173,4733.00497,-0.21811,47.34951,9.480383637963051,3.531692349047317,36.999999368848044
3.53068,3.58155,48.05685,4727.75465,-0.18367,47.4569,9.492521856984252,3.536214155008478,36.999999368848044
3.57341,3.62829,48.03626,4722.49043,-0.14919,47.56454,9.498861229669718,3.5385757381327467,36.999999368848044
3.61601,3.67506,48.01995,4717.21557,-0.11476,47.67238,9.499416597154157,3.5387826271332994,36.999999368848044
3.65847,3.72187,48.00791,4711.9333,-0.08046,47.78035,9.494227387467017,3.536849509988516,36.999999368848044
3.70079,3.7687,48.00009,4706.64685,-0.04638,47.88839,9.48335718764987,3.5328000745444577,36.999999368848044
3.74298,3.81556,47.99646,4701.35946,-0.0126,47.99644,9.466893105473552,3.5266667707377057,36.999999368848044
3.78504,3.86245,47.99697,4696.07429,0.02081,48.10443,9.444944931696146,3.518490498514414,36.999999368848044
3.82696,3.90937,48.00156,4690.79449,0.05375,48.21231,9.41764411680993,3.508320226641627,36.999999368848044
3.86874,3.95631,48.01015,4685.52312,0.08616,48.32002,9.385142578718975,3.4962125485358113,36.999999368848044
3.91039,4.00329,48.02267,4680.26321,0.11796,48.4275,9.34761136009244,3.482231182091633,36.999999368848044
3.9519,4.05029,48.03903,4675.01765,0.14907,48.53469,9.305239155810561,3.466446421116841,36.999999368848044
3.99328,4.09732,48.05912,4669.7893,0.17942,48.64154,9.258230732277125,3.448934546484573,36.999999368848044
4.03453,4.14438,48.08286,4664.58088,0.20895,48.74801,9.206805261150313,3.429777205404256,36.999999368848044
4.07564,4.19146,48.11012,4659.395,0.23758,48.85403,9.15119459045221,3.4090607673644047,36.999999368848044
4.11662,4.23857,48.14078,4654.23418,0.26527,48.95957,9.091641475857237,3.386875665241027,36.999999368848044
4.15747,4.2857,48.17472,4649.1008,0.29195,49.06458,9.028397794495232,3.363315729892275,36.999999368848044
4.19819,4.33286,48.2118,4643.99711,0.31757,49.16901,8.961722762646009,3.338477526202768,36.999999368848044
4.23878,4.38004,48.25189,4638.92522,0.34208,49.27284,8.891881177463302,3.3124596980795076,36.999999368848044
4.27923,4.42725,48.29484,4633.88712,0.36543,49.37602,8.819141701343888,3.2853623293342227,36.999999368848044
4.31956,4.47448,48.34051,4628.88466,0.38758,49.47852,8.743775205719297,3.257286326702217,36.999999368848044
4.35976,4.52174,48.38873,4623.91953,0.40849,49.58031,8.666053189159372,3.2283328305443137,36.999999368848044
4.39984,4.56901,48.43935,4618.99329,0.42812,49.68137,8.586246282535729,3.198602657980916,36.999999368848044
4.43979,4.61631,48.49221,4614.10736,0.44645,49.78166,8.504622851908469,3.168195782430548,36.999999368848044
4.47961,4.66363,48.54715,4609.26302,0.46345,49.88117,8.421447707583612,3.1372108526997797,36.999999368848044
4.51931,4.71097,48.60401,4604.46139,0.4791,49.97988,8.336980925710256,3.1057447539971674,36.999999368848044
